id,num,name,img,type,height,weight,candy,candy_count,egg,spawn_chance,avg_spawns,spawn_time,multipliers,weaknesses,next_evolution
111,111,Rhyhorn,http://www.serebii.net/pokemongo/pokemon/111.png,"['Ground', 'Rock']",0.99 m,115.0 kg,Rhyhorn Candy,50,5 km,0.63,63,03:21,[1.91],"['Water', 'Grass', 'Ice', 'Fighting', 'Ground', 'Steel']","[{'num': '112', 'name': 'Rhydon'}]"
112,112,Rhydon,http://www.serebii.net/pokemongo/pokemon/112.png,"['Ground', 'Rock']",1.91 m,120.0 kg,Rhyhorn Candy,,Not in Eggs,0.022,2.2,05:50,,"['Water', 'Grass', 'Ice', 'Fighting', 'Ground', 'Steel']",
113,113,Chansey,http://www.serebii.net/pokemongo/pokemon/113.png,['Normal'],1.09 m,34.6 kg,None,,10 km,0.013,1.3,04:46,,['Fighting'],
114,114,Tangela,http://www.serebii.net/pokemongo/pokemon/114.png,['Grass'],0.99 m,35.0 kg,None,,5 km,0.228,22.8,23:13,,"['Fire', 'Ice', 'Poison', 'Flying', 'Bug']",
115,115,Kangaskhan,http://www.serebii.net/pokemongo/pokemon/115.png,['Normal'],2.21 m,80.0 kg,None,,5 km,0.0086,0.86,02:40,,['Fighting'],
116,116,Horsea,http://www.serebii.net/pokemongo/pokemon/116.png,['Water'],0.41 m,8.0 kg,Horsea Candy,50,5 km,1.13,113,02:53,[2.23],"['Electric', 'Grass']","[{'num': '117', 'name': 'Seadra'}]"
117,117,Seadra,http://www.serebii.net/pokemongo/pokemon/117.png,['Water'],1.19 m,25.0 kg,Horsea Candy,,Not in Eggs,0.034,3.4,03:18,,"['Electric', 'Grass']",
118,118,Goldeen,http://www.serebii.net/pokemongo/pokemon/118.png,['Water'],0.61 m,15.0 kg,Goldeen Candy,50,5 km,2.18,218,03:14,"[2.15, 2.2]","['Electric', 'Grass']","[{'num': '119', 'name': 'Seaking'}]"
119,119,Seaking,http://www.serebii.net/pokemongo/pokemon/119.png,['Water'],1.30 m,39.0 kg,Goldeen Candy,,Not in Eggs,0.08,8,05:21,,"['Electric', 'Grass']",
120,120,Staryu,http://www.serebii.net/pokemongo/pokemon/120.png,['Water'],0.79 m,34.5 kg,Staryu Candy,50,5 km,1.95,195,22:59,"[2.38, 2.41]","['Electric', 'Grass']","[{'num': '121', 'name': 'Starmie'}]"
121,121,Starmie,http://www.serebii.net/pokemongo/pokemon/121.png,"['Water', 'Psychic']",1.09 m,80.0 kg,Staryu Candy,,Not in Eggs,0.034,3.4,06:57,,"['Electric', 'Grass', 'Bug', 'Ghost', 'Dark']",
122,122,Mr. Mime,http://www.serebii.net/pokemongo/pokemon/122.png,['Psychic'],1.30 m,54.5 kg,None,,10 km,0.0031,0.31,01:51,,"['Bug', 'Ghost', 'Dark']",
123,123,Scyther,http://www.serebii.net/pokemongo/pokemon/123.png,"['Bug', 'Flying']",1.50 m,56.0 kg,None,,10 km,0.14,14,05:43,,"['Fire', 'Electric', 'Ice', 'Flying', 'Rock']",
124,124,Jynx,http://www.serebii.net/pokemongo/pokemon/124.png,"['Ice', 'Psychic']",1.40 m,40.6 kg,None,,10 km,0.35,35,05:41,,"['Fire', 'Bug', 'Rock', 'Ghost', 'Dark', 'Steel']",
125,125,Electabuzz,http://www.serebii.net/pokemongo/pokemon/125.png,['Electric'],1.09 m,30.0 kg,None,,10 km,0.074,7.4,04:28,,['Ground'],
126,126,Magmar,http://www.serebii.net/pokemongo/pokemon/126.png,['Fire'],1.30 m,44.5 kg,None,,10 km,0.1,10,20:36,,"['Water', 'Ground', 'Rock']",
127,127,Pinsir,http://www.serebii.net/pokemongo/pokemon/127.png,['Bug'],1.50 m,55.0 kg,None,,10 km,0.99,99,03:25,,"['Fire', 'Flying', 'Rock']",
128,128,Tauros,http://www.serebii.net/pokemongo/pokemon/128.png,['Normal'],1.40 m,88.4 kg,None,,5 km,0.12,12,00:37,,['Fighting'],
129,129,Magikarp,http://www.serebii.net/pokemongo/pokemon/129.png,['Water'],0.89 m,10.0 kg,Magikarp Candy,400,2 km,4.78,478,14:26,"[10.1, 11.8]","['Electric', 'Grass']","[{'num': '130', 'name': 'Gyarados'}]"
130,130,Gyarados,http://www.serebii.net/pokemongo/pokemon/130.png,"['Water', 'Flying']",6.50 m,235.0 kg,Magikarp Candy,,Not in Eggs,0.0032,0.32,02:15,,"['Electric', 'Rock']",
131,131,Lapras,http://www.serebii.net/pokemongo/pokemon/131.png,"['Water', 'Ice']",2.49 m,220.0 kg,None,,10 km,0.006,0.6,08:59,,"['Electric', 'Grass', 'Fighting', 'Rock']",
132,132,Ditto,http://www.serebii.net/pokemongo/pokemon/132.png,['Normal'],0.30 m,4.0 kg,None,,Not in Eggs,0,0,N/A,,['Fighting'],
133,133,Eevee,http://www.serebii.net/pokemongo/pokemon/133.png,['Normal'],0.30 m,6.5 kg,Eevee Candy,25,10 km,2.75,275,05:32,"[2.02, 2.64]",['Fighting'],"[{'num': '134', 'name': 'Vaporeon'}, {'num': '135', 'name': 'Jolteon'}, {'num': '136', 'name': 'Flareon'}]"
134,134,Vaporeon,http://www.serebii.net/pokemongo/pokemon/134.png,['Water'],0.99 m,29.0 kg,Eevee Candy,,Not in Eggs,0.014,1.4,10:54,,"['Electric', 'Grass']",
135,135,Jolteon,http://www.serebii.net/pokemongo/pokemon/135.png,['Electric'],0.79 m,24.5 kg,None,,Not in Eggs,0.012,1.2,02:30,,['Ground'],
136,136,Flareon,http://www.serebii.net/pokemongo/pokemon/136.png,['Fire'],0.89 m,25.0 kg,Eevee Candy,,Not in Eggs,0.017,1.7,07:02,,"['Water', 'Ground', 'Rock']",
137,137,Porygon,http://www.serebii.net/pokemongo/pokemon/137.png,['Normal'],0.79 m,36.5 kg,None,,5 km,0.012,1.2,02:49,,['Fighting'],
138,138,Omanyte,http://www.serebii.net/pokemongo/pokemon/138.png,"['Rock', 'Water']",0.41 m,7.5 kg,Omanyte Candy,50,10 km,0.14,14,10:23,[2.12],"['Electric', 'Grass', 'Fighting', 'Ground']","[{'num': '139', 'name': 'Omastar'}]"
139,139,Omastar,http://www.serebii.net/pokemongo/pokemon/139.png,"['Rock', 'Water']",0.99 m,35.0 kg,None,,Omanyte Candy,0.0061,0.61,05:04,,"['Electric', 'Grass', 'Fighting', 'Ground']",
140,140,Kabuto,http://www.serebii.net/pokemongo/pokemon/140.png,"['Rock', 'Water']",0.51 m,11.5 kg,Kabuto Candy,50,10 km,0.1,10,00:05,"[1.97, 2.37]","['Electric', 'Grass', 'Fighting', 'Ground']","[{'num': '141', 'name': 'Kabutops'}]"
141,141,Kabutops,http://www.serebii.net/pokemongo/pokemon/141.png,"['Rock', 'Water']",1.30 m,40.5 kg,Kabuto Candy,,Not in Eggs,0.0032,0.32,23:40,,"['Electric', 'Grass', 'Fighting', 'Ground']",
142,142,Aerodactyl,http://www.serebii.net/pokemongo/pokemon/142.png,"['Rock', 'Flying']",1.80 m,59.0 kg,None,,10 km,0.018,1.8,23:40,,"['Water', 'Electric', 'Ice', 'Rock', 'Steel']",
143,143,Snorlax,http://www.serebii.net/pokemongo/pokemon/143.png,['Normal'],2.11 m,460.0 kg,None,,10 km,0.016,1.6,23:40,,['Fighting'],
144,144,Articuno,http://www.serebii.net/pokemongo/pokemon/144.png,"['Ice', 'Flying']",1.70 m,55.4 kg,None,,Not in Eggs,0,0,N/A,,"['Fire', 'Electric', 'Rock', 'Steel']",
145,145,Zapdos,http://www.serebii.net/pokemongo/pokemon/145.png,"['Electric', 'Flying']",1.60 m,52.6 kg,None,,Not in Eggs,0,0,N/A,,"['Ice', 'Rock']",
146,146,Moltres,http://www.serebii.net/pokemongo/pokemon/146.png,"['Fire', 'Flying']",2.01 m,60.0 kg,None,,Not in Eggs,0,0,N/A,,"['Water', 'Electric', 'Rock']",
147,147,Dratini,http://www.serebii.net/pokemongo/pokemon/147.png,['Dragon'],1.80 m,3.3 kg,Dratini Candy,25,10 km,0.3,30,06:41,"[1.83, 1.84]","['Ice', 'Dragon', 'Fairy']","[{'num': '148', 'name': 'Dragonair'}, {'num': '149', 'name': 'Dragonite'}]"
148,148,Dragonair,http://www.serebii.net/pokemongo/pokemon/148.png,['Dragon'],3.99 m,16.5 kg,Dratini Candy,100,Not in Eggs,0.02,2,11:57,[2.05],"['Ice', 'Dragon', 'Fairy']","[{'num': '149', 'name': 'Dragonite'}]"
149,149,Dragonite,http://www.serebii.net/pokemongo/pokemon/149.png,"['Dragon', 'Flying']",2.21 m,210.0 kg,Dratini Candy,,Not in Eggs,0.0011,0.11,23:38,,"['Ice', 'Rock', 'Dragon', 'Fairy']",
150,150,Mewtwo,http://www.serebii.net/pokemongo/pokemon/150.png,['Psychic'],2.01 m,122.0 kg,None,,Not in Eggs,0,0,N/A,,"['Bug', 'Ghost', 'Dark']",
151,151,Mew,http://www.serebii.net/pokemongo/pokemon/151.png,['Psychic'],0.41 m,4.0 kg,None,,Not in Eggs,0,0,N/A,,"['Bug', 'Ghost', 'Dark']",
